Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
525: 474 0 0
526: 473 0 0
527: 472 0 0
528: 471 0 0
529: 470 0 0
530: 469 0 0
531: 468 0 0
532: 467 0 0
533: 466 0 0
534: 465 0 0
535: 464 0 0
536: 463 0 0
537: 462 0 0
538: 461 0 0
539: 460 0 0
540: 459 0 0
541: 458 0 0
542: 457 0 0
543: 456 0 0
544: 455 0 0
545: 454 0 0
546: 453 0 0
547: 452 0 0
548: 451 0 0
549: 450 0 0
550: 449 0 0
551: 448 0 0
552: 447 0 0
553: 446 0 0
554: 445 0 0
555: 444 0 0
556: 443 0 0
557: 442 0 0
558: 441 0 0
559: 440 0 0
560: 439 0 0
561: 438 0 0
562: 437 0 0
563: 436 0 0
564: 435 0 0
565: 434 0 0
566: 433 0 0
567: 432 0 0
568: 431 0 0
569: 430 0 0
570: 429 0 0
571: 428 0 0
572: 427 0 0
573: 426 0 0
574: 425 0 0
575: 424 0 0
576: 423 0 0
577: 422 0 0
578: 421 0 0
579: 420 0 0
580: 419 0 0
581: 418 0 0
582: 417 0 0
583: 416 0 0
584: 415 0 0
585: 414 0 0
586: 413 0 0
587: 412 0 0
588: 411 0 0
589: 410 0 0
590: 409 0 0
591: 408 0 0
592: 407 0 0
593: 406 0 0
594: 405 0 0
595: 404 0 0
596: 403 0 0
597: 402 0 0
598: 401 0 0
599: 400 0 0
600: 399 0 0
601: 398 0 0
602: 397 0 0
603: 396 0 0
604: 395 0 0
605: 394 0 0
606: 393 0 0
607: 392 0 0
608: 391 0 0
609: 390 0 0
610: 389 0 0
611: 388 0 0
612: 387 0 0
613: 386 0 0
614: 385 0 0
615: 384 0 0
616: 383 0 0
617: 382 0 0
618: 381 0 0
619: 380 0 0
620: 379 0 0
621: 378 0 0
622: 377 0 0
623: 376 0 0
624: 375 0 0
625: 374 0 0
626: 373 0 0
627: 372 0 0
628: 371 0 0
629: 370 0 0
630: 369 0 0
631: 368 0 0
632: 367 0 0
633: 366 0 0
634: 365 0 0
635: 364 0 0
636: 363 0 0
637: 362 0 0
638: 361 0 0
639: 360 0 0
640: 359 0 0
641: 358 0 0
642: 357 0 0
643: 356 0 0
644: 355 0 0
645: 354 0 0
646: 353 0 0
647: 352 0 0
648: 351 0 0
649: 350 0 0
650: 349 0 0
651: 348 0 0
652: 347 0 0
653: 346 0 0
654: 345 0 0
655: 344 0 0
656: 343 0 0
657: 342 0 0
658: 341 0 0
659: 340 0 0
660: 339 0 0
661: 338 0 0
662: 337 0 0
663: 336 0 0
664: 335 0 0
665: 334 0 0
666: 333 0 0
667: 332 0 0
668: 331 0 0
669: 330 0 0
670: 329 0 0
671: 328 0 0
672: 327 0 0
673: 326 0 0
674: 325 0 0
675: 324 0 0
676: 323 0 0
677: 322 0 0
678: 321 0 0
679: 320 0 0
680: 319 0 0
681: 318 0 0
682: 317 0 0
683: 316 0 0
684: 315 0 0
685: 314 0 0
686: 313 0 0
687: 312 0 0
688: 311 0 0
689: 310 0 0
690: 309 0 0
691: 308 0 0
692: 307 0 0
693: 306 0 0
694: 305 0 0
695: 304 0 0
696: 303 0 0
697: 302 0 0
698: 301 0 0
699: 300 0 0
700: 299 0 0
701: 298 0 0
702: 297 0 0
703: 296 0 0
704: 295 0 0
705: 294 0 0
706: 293 0 0
707: 292 0 0
708: 291 0 0
709: 290 0 0
710: 289 0 0
711: 288 0 0
712: 287 0 0
713: 286 0 0
714: 285 0 0
715: 284 0 0
716: 283 0 0
717: 282 0 0
718: 281 0 0
719: 280 0 0
720: 279 0 0
721: 278 0 0
722: 277 0 0
723: 276 0 0
724: 275 0 0
725: 274 0 0
726: 273 0 0
727: 272 0 0
728: 271 0 0
729: 270 0 0
730: 269 0 0
731: 268 0 0
732: 267 0 0
733: 266 0 0
734: 265 0 0
735: 264 0 0
736: 263 0 0
737: 262 0 0
738: 261 0 0
739: 260 0 0
740: 259 0 0
741: 258 0 0
742: 257 0 0
743: 256 0 0
744: 255 0 0
745: 254 0 0
746: 253 0 0
747: 252 0 0
748: 251 0 0
749: 250 0 0
750: 249 0 0
751: 248 0 0
752: 247 0 0
753: 246 0 0
754: 245 0 0
755: 244 0 0
756: 243 0 0
757: 242 0 0
758: 241 0 0
759: 240 0 0
760: 239 0 0
761: 238 0 0
762: 237 0 0
763: 236 0 0
764: 235 0 0
765: 234 0 0
766: 233 0 0
767: 232 0 0
768: 231 0 0
769: 230 0 0
770: 229 0 0
771: 228 0 0
772: 227 0 0
773: 226 0 0
774: 225 0 0
775: 224 0 0
776: 223 0 0
777: 222 0 0
778: 221 0 0
779: 220 0 0
780: 219 0 0
781: 218 0 0
782: 217 0 0
783: 216 0 0
784: 215 0 0
785: 214 0 0
786: 213 0 0
787: 212 0 0
788: 211 0 0
789: 210 0 0
790: 209 0 0
791: 208 0 0
792: 207 0 0
793: 206 0 0
794: 205 0 0
795: 204 0 0
796: 203 0 0
797: 202 0 0
798: 201 0 0
799: 200 0 0
800: 199 0 0
801: 198 0 0
802: 197 0 0
803: 196 0 0
804: 195 0 0
805: 194 0 0
806: 193 0 0
807: 192 0 0
808: 191 0 0
809: 190 0 0
810: 189 0 0
811: 188 0 0
812: 187 0 0
813: 186 0 0
814: 185 0 0
815: 184 0 0
816: 183 0 0
817: 182 0 0
818: 181 0 0
819: 180 0 0
820: 179 0 0
821: 178 0 0
822: 177 0 0
823: 176 0 0
824: 175 0 0
825: 174 0 0
826: 173 0 0
827: 172 0 0
828: 171 0 0
829: 170 0 0
830: 169 0 0
831: 168 0 0
832: 167 0 0
833: 166 0 0
834: 165 0 0
835: 164 0 0
836: 163 0 0
837: 162 0 0
838: 161 0 0
839: 160 0 0
840: 159 0 0
841: 158 0 0
842: 157 0 0
843: 156 0 0
844: 155 0 0
845: 154 0 0
846: 153 0 0
847: 152 0 0
848: 151 0 0
849: 150 0 0
850: 149 0 0
851: 148 0 0
852: 147 0 0
853: 146 0 0
854: 145 0 0
855: 144 0 0
856: 143 0 0
857: 142 0 0
858: 141 0 0
859: 140 0 0
860: 139 0 0
861: 138 0 0
862: 137 0 0
863: 136 0 0
864: 135 0 0
865: 134 0 0
866: 133 0 0
867: 132 0 0
868: 131 0 0
869: 130 0 0
870: 129 0 0
871: 128 0 0
872: 127 0 0
873: 126 0 0
874: 125 0 0
875: 124 0 0
876: 123 0 0
877: 122 0 0
878: 121 0 0
879: 120 0 0
880: 119 0 0
881: 118 0 0
882: 117 0 0
883: 116 0 0
884: 115 0 0
885: 114 0 0
886: 113 0 0
887: 112 0 0
888: 111 0 0
889: 110 0 0
890: 109 0 0
891: 108 0 0
892: 107 0 0
893: 106 0 0
894: 105 0 0
895: 104 0 0
896: 103 0 0
897: 102 0 0
898: 101 0 0
899: 100 0 0
900: 99 0 0
901: 98 0 0
902: 97 0 0
903: 96 0 0
904: 95 0 0
905: 94 0 0
906: 93 0 0
907: 92 0 0
908: 91 0 0
909: 90 0 0
910: 89 0 0
911: 88 0 0
912: 87 0 0
913: 86 0 0
914: 85 0 0
915: 84 0 0
916: 83 0 0
917: 82 0 0
918: 81 0 0
919: 80 0 0
920: 79 0 0
921: 78 0 0
922: 77 0 0
923: 76 0 0
924: 75 0 0
925: 74 0 0
926: 73 0 0
927: 72 0 0
928: 71 0 0
929: 70 0 0
930: 69 0 0
931: 68 0 0
932: 67 0 0
933: 66 0 0
934: 65 0 0
935: 64 0 0
936: 63 0 0
937: 62 0 0
938: 61 0 0
939: 60 0 0
940: 59 0 0
941: 58 0 0
942: 57 0 0
943: 56 0 0
944: 55 0 0
945: 54 0 0
946: 53 0 0
947: 52 0 0
948: 51 0 0
949: 50 0 0
950: 49 0 0
951: 48 0 0
952: 47 0 0
953: 46 0 0
954: 45 0 0
955: 44 0 0
956: 43 0 0
957: 42 0 0
958: 41 0 0
959: 40 0 0
960: 39 0 0
961: 38 0 0
962: 37 0 0
963: 36 0 0
964: 35 0 0
965: 34 0 0
966: 33 0 0
967: 32 0 0
968: 31 0 0
969: 30 0 0
970: 29 0 0
971: 28 0 0
972: 27 0 0
973: 26 0 0
974: 25 0 0
975: 24 0 0
976: 23 0 0
977: 22 0 0
978: 21 0 0
979: 20 0 0
980: 19 0 0
981: 18 0 0
982: 17 0 0
983: 16 0 0
984: 15 0 0
985: 14 0 0
986: 13 0 0
987: 12 0 0
988: 11 0 0
989: 10 0 0
990: 9 0 0
991: 8 0 0
992: 7 0 0
993: 6 0 0
994: 5 0 0
995: 4 0 0
996: 3 0 0
997: 2 0 0
998: 1 0 0
999: 0 0 0
Execution time: 8.752000 ms
